audio_filepath,ref,hyp_greedy
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0095.wav,लावप,लावप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0174_W3A-0268.wav,म्हत्व,म्हत्व
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-FullSet-W3B_SP-0004_W3B-0048.wav,आमी,आमी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-FullSet-W3B_SP-0150_W3B-0462.wav,दर्या,दर्या
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Place Name-W2_SP-0180_W2-1010.wav,किटला,किटला
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0058_W3A-0868.wav,लेख,लेखख
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0330_W3A-0792.wav,फक्त,फक्त
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0369_W3A-0951.wav,कुमार,कुमार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Place Name-W2_SP-0204_W2-0615.wav,अंकलेश्वर,अंकलेश्वर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0234_W3A-0655.wav,ओगी,ओगी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0324_W2-0496.wav,विश्वक सेन राय,विश्वक सेन राय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Sentence-S_SP-0255_S-0307.wav,सकाळची पयली च्या बलकांवात रावन पिवपाची मजाच वेगळी आसता.,सकाळची पयली च्या बलकांवात रावन पिवपाची मजाच वेगळी आसता.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0282_W3A-0169.wav,आंग,आंग
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0767.wav,सगळो,सगळो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0142_W3A-0178.wav,तांच्या,तांच्या
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0282_W1-0308.wav,चवथें,चवथें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0355_W1-0035.wav,करिनाका,करिनाका
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0249_W1-0085.wav,पी,पी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0406_W3A-0109.wav,नदर,नदर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0002_W1-0180.wav,बारा,बारा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0316_W3A-0915.wav,वाद,वाद
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0126_W2-0042.wav,आर्थर कॉलवेल,आर्थर कॉलवेल
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-Part-W3A_SP-0061_W3A-0633.wav,हाडटां,हाडटां
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Place Name-W2_SP-0084_W2-1356.wav,सोलयें,सोलयें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Form and Function Word-W5_SP-0151_W5-0317.wav,अर्दांश/अर्दो,अर्दांश<unk>अर्दर्दो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0336_W1-0110.wav,घेवन येयात,घेवन येयात
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-FullSet-W3B_SP-0150_W3B-0419.wav,सरत,सरत
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0055_S-0423.wav,मेल्या उपरांत क्षेत्रज्ञ अमर उरता.,मेल्या उपरांत क्षेत्रज््ञ अमर उरता.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Place Name-W2_SP-0258_W2-0923.wav,रत्नागीरी,रत्नागीरी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Phonetically Balanced-W4/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Phonetically Balanced-W4_SP-0153_W4-0272.wav,अंधविश्वास,अंधविश्वास
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0315_W2-0763.wav,गुवाहाटी,गुवाहाटी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Person Name-W2_SP-0214_W2-0133.wav,गगन खोडा,गगन खोडा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0052_W3A-0793.wav,लिपप,लिपप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0117_W3A-0914.wav,बांय,बांय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0172_W3A-0381.wav,जोडप,जोडप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-FullSet-W3B_SP-0091_W3B-0153.wav,देखून,देखून
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0186_W2-0497.wav,विश्वजीत राणें,विश्वजीत राणें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-FullSet-W3B_SP-0004_W3B-0800.wav,गिरायक,गिरायक
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Sentence-S_SP-0004_S-0249.wav,यशवंत आनी जयेश हांचेभितर खर इश्टागत आसा.,यशवंत आनी जयेश हांचेभितर खर इश्टागत आसा.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0500_W3A-0444.wav,भावना,भावना
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0124_S-0124.wav,सचिनान शतकां मारपाक सगळ्याचो रिकोर्ड तोडलो.,सचिनान शतकां मारपाक सगळ्याचो रिकोर्डो तोडलो.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0233_W1-0120.wav,उणें करचें,उणें करचें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Phonetically Balanced-W4/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Phonetically Balanced-W4_SP-0152_W4-0262.wav,अदमास,अदमास
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0043_S-0220.wav,सगळ्या गावांत मंथना सारखो नाड भुरगो कोण ना.,सगळ्या गावांत मंथना सारखो नाड भुरगो कोण ना.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0235_W1-0152.wav,आँगस्ट,आँगस्ट
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0110_W1-0172.wav,चार,चार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0391_S-0171.wav,सुनेक फकत छळपाचेंच काम सासू करता अशें ना.,सुनेक फकत छछळपाचेंच काम सासू करता अशें ना.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Command and Control Words-W1_SP-0168_W1-0041.wav,पळोवचें न्हय,पळोवचें न्हय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-FullSet-W3B_SP-0091_W3B-0166.wav,वाचप,वाचप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0219_S-0167.wav,प्रियंका सालसा नाच करपाक शिकता.,प्रियंका सालसा नाच करपाक शिकता.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0282_S-0248.wav,त्या गांवात एक शेत आसलें. त्या शेतांत एक सुकणें आपल्या पिलांवांगडा घोंटेर बांदून  रावतालें.,त्या गांवात एक शेत आसलें. त्या शेतांतत एक सुकणें आपल्या पिलांवांगडा बोंडेल बांदून रावतालें.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Phonetically Balanced-W4/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Phonetically Balanced-W4_SP-0156_W4-0425.wav,अज्ञ,अज्ञ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Form and Function Word-W5_SP-0157_W5-0291.wav,त्याखातीर,त्याखातीर
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0114_W3A-0299.wav,मराठी,मराठी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Most Frequent Word-Part-W3A_SP-0423_W3A-0984.wav,एकाद्रें,एकाद्रें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Phonetically Balanced-W4/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Phonetically Balanced-W4_SP-0167_W4-0256.wav,नथ,नथ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0023_W3A-0990.wav,तळें,तळें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-Part-W3A_SP-0410_W3A-0072.wav,आपलें,आपलें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0318_W1-0004.wav,वच,वच
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Person Name-W2_SP-0367_W2-0363.wav,मनमोहन सिंह,मनमोहन सिंह
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0062_W1-0135.wav,ब्रेस्तार,ब्रेस्तार
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0014_W3A-0802.wav,तितलो,तितलो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0201_W2-0073.wav,एम.जी.रामचंद्रन,एम.जी.रामचंद्रन
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0248_W2-1091.wav,ताळगांव,ताळगांव
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Sentence-S_SP-0360_S-0131.wav,हासप हें सगळ्या दुवेसाचेर बरें वखद.,हासप हें सगळ्या दुवेसाचेर बरें वखद.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0276_W3A-0478.wav,फुलां,फुलां
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0750.wav,मोटें,मोटें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0503_W2-0172.wav,चार्ली चैप्लिन,चार्ली चैप्लिन
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Place Name-W2_SP-0276_W2-0645.wav,आइजोल,आइजोल
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Place Name-W2_SP-0176_W2-1160.wav,पारशें,पारशें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Command and Control Words-W1_SP-0046_W1-0307.wav,तिसरें,तिसरें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0218_W3A-0844.wav,वेवस्था,वेवस्था
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0188_W1-0265.wav,सत्तयाण्णव,सत्तयाण्णव
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0421_W3A-0706.wav,भोव,भोव
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0380_W3A-0350.wav,कवी,कवी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-Part-W3A_SP-0226_W3A-0953.wav,न्हू,न्हू
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0500_W3A-0411.wav,बंद,बंद
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0383_S-0123.wav,वायट काम करतल्यांक फकत नरक यातना मेळटात.,वायट काम करतल्यांक फकत नरक यातना मेळटात.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0487_W2-0614.wav,हैंसी क्रोनिए,हैंसी क्रोनिए
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Person Name-W2_SP-0503_W2-0553.wav,सनी देयोल,सनी देयोल
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-Part-W3A_SP-0048_W3A-0519.wav,तागेलो,तागेलो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Sentence-S_SP-0014_S-0139.wav,म्हाका म्हजें शाळेचे दीस खूब उगडासाक येतात.,म्हाका म्हजें शाळेचे दीस खूब उगडासाक येतात.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0145_W2-0433.wav,राजू नायक,राजू नायक
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0333_S-0087.wav,शिक्षकान सगळ्यां भुरग्यांक ओग्गी रावपाक सांगले.,शिक्षकान सगळ्यां भुरग्यांक ओग्गी रावपाक सांगले.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0329_W3A-0329.wav,सगळी,सगळी
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-FullSet-W3B_SP-0004_W3B-0447.wav,चलोवप,चलोवप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Phonetically Balanced-W4/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Phonetically Balanced-W4_SP-0197_W4-0289.wav,पडवळें,पडवळें
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Place Name-W2_SP-0363_W2-0906.wav,मधेपुरा,मधेपुरा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0300_S-0227.wav,लायट गेल्या उपरांत मेणवातिचो उगडास येता.,लायट गेल्या उपरांत मेणवातिचो उगडास येता.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/Above51/LDC-IL_Scheduled_Konkani_Female_Above51_Person Name-W2_SP-0360_W2-0208.wav,जॉर्ज फर्नांडिज़,जॉर्ज फर्नांडिज<unk>
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Person Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Person Name-W2_SP-0096_W2-0119.wav,केदार नाथ शर्मा,केदार नाथ शर्मा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Command and Control Words-W1_SP-0128_W1-0015.wav,उठय,उठय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Sentence-S_SP-0064_S-0152.wav,शेंतात वाघाच्या पघाची निशाण आशिल्ली.,शेंतात वाघाच्या पघाची निशाण आशिल्ली.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0376_W3A-0869.wav,वडय,वडय
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Most Frequent Word-FullSet-W3B_SP-0034_W3B-0880.wav,परंत,परंत
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Most Frequent Word-Part-W3A_SP-0238_W3A-0175.wav,जाप,जाप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Command and Control Words-W1_SP-0460_W1-0176.wav,आठ,आठ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Command and Control Words-W1_SP-0103_W1-0049.wav,वळात,वळात
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0115_W3A-0636.wav,खासा,खासा
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Female/16To20/LDC-IL_Scheduled_Konkani_Female_16To20_Command and Control Words-W1_SP-0236_W1-0236.wav,आठसठ,आठसठ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0473_W3A-0194.wav,तसो,तसो
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0371_W3A-0261.wav,हांसप,हांसप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Form and Function Word-W5/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Form and Function Word-W5_SP-0197_W5-0093.wav,पुंजावप,पुंजावप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Sentence-S/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Sentence-S_SP-0419_S-0254.wav,नाथपंथ लोक पंढरपूर सावन गोंयान आयल्यात.,नाथपंथ लोक पंढरपूर सावन गोंयान आयल्यात.
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Place Name-W2_SP-0404_W2-0740.wav,केदारनाथ,केदारनाथ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Most Frequent Word-Part-W3A_SP-0481_W3A-0640.wav,फळां,फळां
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Command and Control Words-W1/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Command and Control Words-W1_SP-0343_W1-0236.wav,आठसठ,आठसठ
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-FullSet-W3B/Male/Above51/LDC-IL_Scheduled_Konkani_Male_Above51_Most Frequent Word-FullSet-W3B_SP-0102_W3B-0431.wav,मोडप,मोडप
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Most Frequent Word-Part-W3A/Male/21To50/LDC-IL_Scheduled_Konkani_Male_21To50_Most Frequent Word-Part-W3A_SP-0197_W3A-0086.wav,लेगीत,लेगीत
/Volumes/data&proj/konkani/KonkaniRawSpeechCorpus/Data/Place Name-W2/Female/21To50/LDC-IL_Scheduled_Konkani_Female_21To50_Place Name-W2_SP-0060_W2-0729.wav,कारासवाडो,कारासवाडो
